328	238600
661	104311
662	168820
669	103950
671	100650
1303	107400
4539	124080
4673	608508
4961	102680
4994	109691
5036	109270
5352	131244
5882	118470
5907	142360
5917	173470
5918	173470
6025	227400
6046	227500
6063	134850
6133	173610
6165	136435
6166	136435
6195	138040
6265	113505
6267	116790
6318	312861
6336	191315
6339	191315
6647	107400
7412	107741
7775	605083
11276	110600
11461	258870
11694	601015
13551	230000
16139	162640
16947	124030
17580	107400
26722	606202
144848	600185
182549	601806
203462	604694
213950	602421
231775	123890
241447	170261
241448	170261
283413	103730
288326	605083
324420	602935
324981	608595
351855	134935
381737	606463
429358	107741
450046	606810
460897	134370
486907	180435
709932	107400
713598	607751
751229	605210
769452	107741
769455	107741
820878	606873
854560	168820
861539	600675
906807	600532
1041981	153440
1042522	191170
1042602	606933
1042714	109690
1044498	173335
1047286	120700
1049564	164050
1050086	314200
1050565	602403
1050828	305900
1050829	305900
1051740	132810
1051931	601690
1057141	170260
1061009	141800
1061170	134370
1061234	142200
1061234	142250
1064422	146770
1064651	606463
1065852	124030
1127354	147520
1135062	111200
1137100	601007
1137101	601007
1169288	142410
1169305	142410
1325310	114208
1494555	146661
1494558	146661
1566734	600925
1726866	607751
1799725	147460
1799807	177400
1799864	601267
1799899	190000
1799983	163729
1799990	176640
1799999	600917
1800098	602421
1800278	300377
1800309	606800
1800321	300461
1800422	606933
1800435	125270
1800443	126452
1800447	152780
1800449	153455
1800450	154545
1800454	170261
1800458	176300
1800460	187680
1800562	235200
1800709	113705
1800888	109690
1801105	605238
1801131	607093
1801133	607093
1801198	275350
1801200	164870
1801252	109630
1801253	109630
1801265	274270
1801270	116899
1801275	147781
1801725	601199
1804495	314200
1805005	155555
1805007	155555
1805008	155555
1805018	601690
1805097	600797
1805388	601837
1805389	601837
1807467	606810
2032582	171050
2066702	103720
2066844	605956
2066845	605956
2070075	606999
2071421	607574
2072493	603031
2073658	191523
2073711	603489
2227564	191840
2228063	259730
2228325	102574
2228479	155555
2230199	120700
2230806	600046
2234036	314200
2234922	132810
2236225	172460
2238472	603234
2281845	114208
2285644	109270
2286963	201460
2293869	603937
2300929	120900
2301612	604134
2303067	605010
2303790	118470
2476601	600716
2734830	602044
2870984	606810
2904551	606810
2904552	606810
3087456	600005
3092857	607585
3092891	180200
3180383	606953
3188996	167415
3218713	160760
3218714	160760
3219018	604590
3732379	601470
3737787	191523
3743930	608107
3751143	602566
3765187	173510
3804505	608815
3807153	605239
3810710	300502
3831308	114208
3970559	606810
4253208	609413
4253527	178630
4630153	604566
4647924	134934
4792311	605367
4986790	603030
4986791	603030
4986852	113705
4986893	124020
4987076	108345
4987188	609309
4988235	601806
4988321	603506
5030849	261600
5742904	107730
5744168	603031
7014851	602302
7076156	607818
7418956	182860
7626962	600163
7732671	608886
8176058	110900
8179183	601007
8192466	113505
9282671	601771
9282858	607306
9332964	607306
10151259	605446
10246939	607751
10250779	261670
11053646	602601
11083750	107741
11258194	602432
11466023	608107
11466024	608107
11540652	191170
11547328	123829
11554290	164790
11554495	148060
11555096	276700
11556045	606873
11568372	603201
11570255	131242
11570351	131242
11680700	609359
11739136	603951
11934801	252800
11971167	602421
12329790	236200
12720441	152427
12720459	607542
12735723	600923
12948217	608034
13073139	609019
13306487	173470
16874954	601690
16879498	180297
16880254	187680
16990018	176640
17015215	607199
17073260	603400
17107315	167790
17158558	164761
17181017	600018
17215437	604433
17215500	607542
17221854	607542
17241062	107730
17241090	601487
17292650	159530
17334242	109690
17407754	607657
17422866	170260
17513769	147781
17515604	235200
17602729	102770
17845454	606999
17847042	601130
17847133	605353
17848368	602044
17849308	116790
17850737	238600
17850783	600675
17851360	138750
