SNP name;Number of occurrences
rs2069526;344
rs799912;344
rs35010098;343
rs1801280;339
rs799917;343
rs717620;345
rs28383479;343
rs5031017;35
rs701265;343
rs5031016;343
rs76293380;0
rs2230037;93
rs1801279;343
rs2069514;0
rs762551;344
rs3918290;344
rs11568732;334
rs17886522;313
rs1801272;343
rs56296335;343
rs34223104;343
rs28383468;343
rs10929302;335
rs1801266;343
rs1801265;320
rs1801268;342
rs1801267;0
rs34059508;1
rs35303484;343
rs4646438;0
rs2359612;344
rs17238484;0
rs72552267;342
rs72552791;342
rs2472304;344
rs3807375;344
rs12721608;342
rs55817950;341
rs1048943;344
rs1801253;344
rs1801252;56
rs1060915;331
rs1050829;93
rs1050828;94
rs1143671;343
rs1143672;323
rs2066853;344
rs3909184;342
rs6791924;343
rs55752064;343
rs4629571;0
rs2844682;344
rs28365083;343
rs28365085;0
rs9923231;344
rs3211371;36
rs56318881;340
rs4818;3
rs2470890;344
rs4149015;343
rs17884712;344
rs2046934;343
rs3892097;55
rs1800497;343
rs1138272;343
rs4803419;36
rs4803418;333
rs58973490;0
rs76723693;0
rs20417;344
rs35694136;0
rs1902023;14
rs1058930;345
rs79135870;0
rs2256871;343
rs17878649;342
rs28371685;344
rs28371686;344
rs28374453;0
rs1080985;3
rs36056539;343
rs3740066;344
rs3211369;0
rs56199535;1
rs7916649;341
rs56337013;0
rs118203759;0
rs7900194;344
rs118203757;0
rs4680;344
rs118203756;0
rs56161402;0
rs56244447;343
rs4986782;343
rs4986783;344
rs56101265;342
rs2306168;343
rs12721655;0
rs17881535;0
rs1041983;343
rs33980385;337
rs4149056;345
rs17879992;0
rs142965323;0
rs1042713;344
rs17238540;344
rs1042714;341
rs4124874;324
rs35979566;343
rs1800462;343
rs7196161;337
rs2306283;343
rs8176318;343
rs1065411;0
rs41279857;343
rs17884832;3
rs55750087;342
rs41279854;344
rs7088784;4
rs1800460;344
rs28371759;343
rs55785340;340
rs4986893;343
rs4986894;344
rs4986891;343
rs11572103;343
rs55886062;342
rs36103319;342
rs55793712;343
rs10509681;343
rs1800584;344
rs36079186;336
rs1065776;342
rs28371725;341
rs1799752;0
rs56160784;342
rs4633;344
rs12979860;340
rs1131596;0
rs17861157;344
rs59502379;341
rs55965422;343
rs3846663;343
rs3846662;345
rs7902257;343
rs3814055;343
rs2293616;344
rs8050894;344
rs2395029;344
rs12721627;344
rs873478;4
rs5629;38
rs12721629;0
rs17244841;342
rs316019;342
rs13404099;0
rs36060847;343
rs9908805;344
rs34489327;0
rs1800031;343
rs28371706;343
rs1800566;344
rs12721634;344
rs56199088;343
rs56276455;343
rs1128503;344
rs17880887;338
rs4986850;343
rs7439366;0
rs776746;343
rs12721649;343
rs4986852;344
rs55737008;343
rs17708472;343
rs56172717;342
rs34946978;344
rs9911630;344
rs34826503;56
rs4802101;0
rs4986910;344
rs4986913;343
rs10276036;345
rs5030862;318
rs5030863;0
rs5030865;10
rs9282861;0
rs5030868;93
rs5030867;343
rs1799853;343
rs10935838;0
rs2740574;343
rs140790673;0
rs35468935;0
rs4704209;0
rs33926104;343
rs5030839;344
rs34743033;0
rs1799929;344
rs2884737;343
rs33973337;31
rs7626962;344
rs56387224;342
rs34130495;343
rs1057911;337
rs1057910;343
rs67807361;0
rs56411402;342
rs56165452;0
rs80081766;0
rs34284776;0
rs2273697;343
rs1799931;343
rs1799732;9
rs1799930;344
rs72559745;0
rs72559748;313
rs35266616;0
rs1799949;331
rs55901008;339
rs55918055;334
rs78060119;0
rs34097093;341
rs3213619;344
rs9934438;344
rs72558192;343
rs72558193;342
rs12769205;342
rs72558190;340
rs55640102;300
rs8175347;0
rs1799814;344
rs6025;343
rs11572080;344
rs35742686;0
rs1799966;344
rs17878459;343
rs16947;325
rs16941;344
rs16942;343
rs2257212;342
rs1695;343
rs16940;342
rs6809699;343
rs4149117;343
rs17599948;344
rs59710386;0
rs72558188;0
rs72558187;0
rs72558189;0
rs72558184;0
rs72558186;343
rs7311358;341
rs72549306;0
rs72549303;0
rs72549309;0
rs1800888;343
rs4986909;344
rs4986907;344
rs4986908;344
rs56379106;0
rs2032582;1
rs56061388;338
rs1805158;344
rs36210421;342
rs6413438;343
rs35350960;0
rs8177504;342
rs28399444;0
rs28399447;0
rs1142345;344
rs17885098;0
rs28399513;344
rs147545709;0
rs1801159;343
rs1801158;343
rs3758580;0
rs3758581;344
rs9332131;0
rs9332130;343
rs35796837;344
rs139257324;0
rs689466;38
rs4417205;1
rs8177507;0
rs4987161;344
rs34993780;0
rs28399504;343
rs7294;344
rs10264272;343
rs1801160;341
rs137852328;0
rs41291556;343
rs3745274;335
rs1801028;342
rs45486893;341
rs28399454;343
rs5030656;1
rs5030655;2
rs1805123;342
rs1805124;344
rs56107638;343
rs35622401;0
rs59113707;0
rs5275;326
rs1801131;343
rs28399424;343
rs1801030;341
rs1801133;343
rs12720441;0
rs3761738;344
rs3761739;343
rs12248560;344
rs1135840;337
rs4917623;343
rs1051266;343
rs3092995;3
rs6277;340
rs72547516;342
rs72547517;343
rs72547515;343
rs72547512;0
rs11045852;294
rs72547513;339
rs11045853;344
rs72547511;0
rs1045642;345
rs11568626;342
rs5853517;0
rs61736512;150
rs28399435;343
rs34698757;343
rs28399434;343
rs28399433;37
rs59421388;341
rs11188072;342
rs35773040;343
rs6269;343
rs41303343;0
rs2235013;344
rs2115819;332
rs12720461;343
rs887829;345
rs628031;344
rs1208;345
rs2279344;269
rs34671512;343
rs4244285;344
rs12516;342
rs9332239;343
rs6453131;0
rs1809810;0
rs28399499;343
rs57505750;340
rs2279341;37
rs12659;340
rs12571421;343
rs2279343;341
rs2279342;36
rs2231142;344
rs12208357;309
rs8177517;343
rs8177516;342
rs3815459;37
rs17879685;343
rs34883432;297
rs1065852;339
rs1051298;335
rs1051296;342
rs2235033;344
rs8192709;342
rs10038095;0
rs45482602;341
rs28399468;343
rs56313657;342
rs3826711;343
rs890293;343
rs5219;344
rs4148323;344
rs4646278;344
rs4646277;344
