SNP name;Number of occurrences
rs2069526;388
rs799912;388
rs35010098;383
rs1801280;381
rs799917;388
rs717620;388
rs28383479;383
rs5031017;74
rs701265;388
rs5031016;384
rs76293380;0
rs2230037;101
rs1801279;387
rs2069514;0
rs762551;385
rs3918290;387
rs11568732;374
rs17886522;313
rs1801272;384
rs56296335;342
rs34223104;384
rs28383468;344
rs10929302;375
rs1801266;383
rs1801265;363
rs1801268;382
rs1801267;0
rs34059508;1
rs35303484;384
rs4646438;0
rs2359612;387
rs17238484;0
rs72552267;341
rs72552791;342
rs2472304;387
rs3807375;387
rs12721608;342
rs55817950;341
rs1048943;386
rs1801253;385
rs1801252;71
rs1060915;375
rs1050829;101
rs1050828;102
rs1143671;388
rs1143672;367
rs2066853;389
rs3909184;384
rs6791924;384
rs55752064;342
rs4629571;0
rs2844682;388
rs28365083;387
rs28365085;0
rs9923231;386
rs3211371;75
rs56318881;340
rs4818;5
rs2470890;384
rs4149015;343
rs17884712;384
rs2046934;342
rs3892097;55
rs1800497;385
rs1138272;384
rs4803419;75
rs4803418;334
rs58973490;0
rs76723693;0
rs20417;386
rs35694136;0
rs1902023;29
rs1058930;385
rs79135870;0
rs2256871;384
rs17878649;386
rs28371685;387
rs28371686;384
rs28374453;0
rs1080985;13
rs36056539;383
rs3740066;384
rs3211369;0
rs56199535;1
rs7916649;386
rs56337013;0
rs118203759;0
rs7900194;383
rs118203757;0
rs4680;388
rs118203756;0
rs56161402;0
rs56244447;342
rs4986782;384
rs4986783;386
rs56101265;342
rs2306168;384
rs12721655;0
rs17881535;0
rs1041983;386
rs33980385;338
rs4149056;387
rs17879992;0
rs142965323;0
rs1042713;387
rs17238540;386
rs1042714;382
rs4124874;367
rs35979566;384
rs1800462;383
rs7196161;338
rs2306283;386
rs8176318;387
rs1065411;0
rs41279857;383
rs17884832;4
rs55750087;342
rs41279854;383
rs7088784;6
rs1800460;387
rs28371759;388
rs55785340;339
rs4986893;387
rs4986894;387
rs4986891;381
rs11572103;385
rs55886062;342
rs36103319;341
rs55793712;342
rs10509681;387
rs1800584;383
rs36079186;376
rs1065776;382
rs28371725;381
rs1799752;0
rs56160784;342
rs4633;389
rs12979860;343
rs1131596;0
rs17861157;387
rs59502379;341
rs55965422;342
rs3846663;345
rs3846662;388
rs7902257;347
rs3814055;387
rs2293616;385
rs8050894;385
rs2395029;384
rs12721627;383
rs873478;5
rs5629;79
rs12721629;0
rs17244841;342
rs316019;388
rs13404099;0
rs36060847;387
rs9908805;388
rs34489327;0
rs1800031;387
rs28371706;382
rs1800566;387
rs12721634;387
rs56199088;342
rs56276455;342
rs1128503;387
rs17880887;338
rs4986850;386
rs7439366;0
rs776746;388
rs12721649;346
rs4986852;387
